
BPAN4;BANCO PAN;8,44;5,79;0,49;2,99;0,0273;17,15;1,45
BPAR3;BANCO BANPARA;182,07;178,47;25,00;-;10,3680;7,28;1,02
BRBI4;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;0,00;2,46;0,46;-;0,4600;0,00;0,00
BRAP4;BRADESPAR;25,65;20,41;5,40;5,47;3,1008;4,76;1,26
BRBI3;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;0,00;2,46;0,46;-;0,4600;0,00;0,00
BRFS3;BRF;14,03;8,39;-2,19;-;0,0000;-6,47;1,69
BRAP3;BRADESPAR;23,95;20,41;5,40;5,34;2,8189;4,43;1,17
BRGE11;CONSÓRCIO ALFA DE ADMINISTRAÇÃO;10,75;18,16;0,65;2,45;0,3782;16,65;0,59
BRGE12;CONSÓRCIO ALFA DE ADMINISTRAÇÃO;10,53;18,16;0,65;-;0,0000;16,31;0,58
BRGE6;CONSÓRCIO ALFA DE ADMINISTRAÇÃO;11,15;18,16;0,65;4,73;0,7565;17,27;0,61
BRGE5;CONSÓRCIO ALFA DE ADMINISTRAÇÃO;10,82;18,16;0,65;2,03;0,3152;16,76;0,60
BRGE3;CONSÓRCIO ALFA DE ADMINISTRAÇÃO;11,09;18,16;0,65;-;0,0000;17,17;0,61
BRGE8;CONSÓRCIO ALFA DE ADMINISTRAÇÃO;10,81;18,16;0,65;2,03;0,3152;16,74;0,60
BRIV3;BANCO ALFA DE INVESTIMENTO;10,55;19,39;0,62;1,50;0,0544;17,02;0,54
BRIV4;BANCO ALFA DE INVESTIMENTO;10,50;19,39;0,62;2,95;0,6101;16,94;0,54
BRGE7;CONSÓRCIO ALFA DE ADMINISTRAÇÃO;10,82;18,16;0,65;2,84;0,4413;16,76;0,60
BRIT3;BRISANET PARTICIPAÇÕES S.A.;3,33;3,30;0,29;0,97;0,0012;11,44;1,02
BRKM5;BRASKEM;20,17;6,30;-5,91;-;1,6963;-3,39;3,18
BRQB3;BRQ SOLUCOES EM INFORMATICA S.A.;0,00;1,56;0,57;-;0,1314;0,00;0,00
BRSR3;BANCO BANRISUL;12,12;23,66;2,29;7,77;0,8570;5,29;0,51
BRKM6;BRASKEM;15,90;6,30;-5,91;-;0,0000;-2,69;2,52
BRKM3;BRASKEM;20,45;6,30;-5,91;-;1,6963;-3,44;3,23
BRSR6;BANCO BANRISUL;11,61;23,66;2,29;8,15;0,8570;5,04;0,49
BSLI3;BRB BCO DE BRASILIA S.A.;14,49;6,80;0,92;0,32;1,0467;15,82;2,13
BRSR5;BANCO BANRISUL;18,97;23,66;2,29;5,06;0,8664;8,28;0,80
BSLI4;BRB BCO DE BRASILIA S.A.;11,74;6,80;0,92;0,43;1,1514;12,81;1,73
CALI3;CONSTRUTORA ADOLPHO LINDENBERG;16,40;8,63;3,78;2,72;4,3199;4,34;1,90
CAML3;CAMIL;7,59;8,57;1,38;3,77;0,2935;5,50;0,89
CAMB3;CAMBUCI;9,42;5,19;1,82;2,10;0,1322;5,20;1,82
CASN3;CASAN;9,61;1,93;0,06;0,23;0,0349;164,59;4,97
CATA3;CIA INDUSTRIAL CATAGUASES;103,61;1.257,08;144,89;38,09;0,0000;0,72;0,08
